Year,Sub_Region_Name,Climate_Value
2021,고성군,1960.2
2021,남해군,2096.4
2021,하동군,1944.4
2021,산청군,1835.9
2021,함양군,1589.4
2021,거창군,1442.5
2021,합천군,1532.8
2021,제주시,2074.4
2021,서귀포시,2219.4
2022,종로구,1324.1
2022,중구,1316.7
2022,용산구,1268.3
2022,성동구,1342.1
2022,광진구,1367.9
2022,동대문구,1365.5
2022,중랑구,1378.3
2022,성북구,1367.5
2022,강북구,1401.1
2022,도봉구,1424.6
2022,노원구,1374.2
2022,은평구,1266.7
2022,서대문구,1292.2
2022,마포구,1271.1
2022,양천구,1275.2
2022,강서구,1268.7
2022,구로구,1278.9
2022,금천구,1266.0
2022,영등포구,1276.0
2022,동작구,1280.3
2022,관악구,1287.4
2022,서초구,1318.9
2022,강남구,1351.8
2022,송파구,1360.7
2022,강동구,1389.0
2022,중구,1588.4
2022,서구,1493.4
2022,동구,1598.4
2022,영도구,1596.1
2022,부산진구,1540.5
2022,동래구,1573.2
2022,남구,1586.1
2022,북구,1452.8
2022,해운대구,1642.3
2022,사하구,1446.7
2022,금정구,1613.5
2022,강서구,1416.1
2022,연제구,1523.4
2022,수영구,1622.3
2022,사상구,1463.9
2022,기장군,1633.8
2022,중구,1121.0
2022,동구,1123.2
2022,서구,1134.9
2022,남구,1131.8
2022,북구,1141.5
2022,수성구,1129.9
2022,달서구,1147.8
2022,달성군,1191.3
2022,중구,1182.7
2022,동구,1202.1
2022,연수구,1162.0
2022,남동구,1208.6
2022,부평구,1246.5
2022,계양구,1286.7
2022,서구,1247.6
2022,미추홀구,1191.0
2022,강화군,1218.0
2022,옹진군,1015.5
2022,동구,1240.0
2022,서구,1265.7
2022,남구,1262.6
2022,북구,1273.3
2022,광산구,1291.4
2022,동구,1244.3
2022,중구,1277.7
2022,서구,1275.7
2022,유성구,1226.4
2022,대덕구,1249.8
2022,중구,1345.3
2022,남구,1314.5
2022,동구,1427.2
2022,북구,1345.8
2022,울주군,1481.8
2022,세종특별자치시,1247.3
2022,수원시,1238.9
2022,수원시 장안구,1251.7
2022,수원시 권선구,1230.1
2022,수원시 팔달구,1244.3
2022,수원시 영통구,1232.6
2022,성남시,1323.7
2022,성남시 수정구,1328.5
2022,성남시 중원구,1328.2
2022,성남시 분당구,1317.8
2022,의정부시,1380.7
2022,안양시,1265.9
2022,안양시 만안구,1251.0
2022,안양시 동안구,1278.2
2022,부천시,1263.7
2022,광명시,1274.5
2022,평택시,1181.9
2022,동두천시,1303.6
2022,안산시,1152.6
2022,안산시 상록구,1156.9
2022,안산시 단원구,1147.9
2022,고양시,1272.2
2022,고양시 덕양구,1261.2
2022,고양시 일산동구,1280.9
2022,고양시 일산서구,1284.8
2022,과천시,1334.0
2022,구리시,1377.1
2022,남양주시,1393.9
2022,오산시,1219.6
2022,시흥시,1178.6
2022,군포시,1279.9
2022,의왕시,1263.3
2022,하남시,1362.2
2022,용인시,1297.9
2022,용인시 처인구,1332.3
2022,용인시 기흥구,1270.2
2022,용인시 수지구,1302.0
2022,파주시,1281.7
2022,이천시,1303.5
2022,안성시,1299.3
2022,김포시,1272.5
2022,화성시,1171.4
2022,광주시,1390.5
2022,양주시,1339.9
2022,포천시,1340.7
2022,여주시,1247.1
2022,연천군,1301.3
2022,가평군,1339.8
2022,양평군,1277.3
2022,춘천시,1215.7
2022,원주시,1222.3
2022,강릉시,1881.3
2022,동해시,1751.5
2022,태백시,1588.9
2022,속초시,1881.2
2022,삼척시,1738.0
2022,홍천군,1314.0
2022,횡성군,1286.1
2022,영월군,1261.5
2022,평창군,1455.4
2022,정선군,1494.9
2022,철원군,1323.9
2022,화천군,1268.6
2022,양구군,1354.3
2022,인제군,1402.5
2022,고성군,1639.8
2022,양양군,1781.5
2022,충주시,1336.7
2022,제천시,1342.9
2022,청주시,1340.3
2022,청주시 상당구,1334.0
2022,청주시 서원구,1335.4
2022,청주시 흥덕구,1335.6
2022,청주시 청원구,1363.9
2022,보은군,1342.7
2022,옥천군,1262.7
2022,영동군,1251.1
2022,진천군,1429.2
2022,괴산군,1435.3
2022,음성군,1362.5
2022,단양군,1336.5
2022,증평군,1438.9
2022,천안시,1376.3
2022,천안시 동남구,1397.0
2022,천안시 서북구,1349.2
2022,공주시,1220.0
2022,보령시,1232.2
2022,아산시,1209.2
2022,서산시,1203.5
2022,논산시,1268.1
2022,계룡시,1298.8
2022,당진시,1220.0
2022,금산군,1368.1
2022,부여군,1344.3
2022,서천군,1275.1
2022,청양군,1281.7
2022,홍성군,1187.7
2022,예산군,1188.8
2022,태안군,1066.7
2022,전주시,1221.9
2022,전주시 완산구,1224.4
2022,전주시 덕진구,1219.1
2022,군산시,1227.1
2022,익산시,1232.0
2022,정읍시,1213.8
2022,남원시,1336.3
2022,김제시,1139.3
2022,완주군,1291.0
2022,진안군,1356.6
2022,무주군,1283.8
2022,장수군,1333.0
2022,임실군,1292.5
2022,순창군,1324.9
2022,고창군,1225.1
2022,부안군,1177.0
2022,목포시,1334.2
2022,여수시,1732.8
2022,순천시,1718.3
2022,나주시,1334.0
2022,광양시,1724.2
2022,담양군,1283.2
2022,곡성군,1307.5
2022,구례군,1430.5
2022,고흥군,1703.3
2022,보성군,1699.2
2022,화순군,1360.2
2022,장흥군,1684.4
2022,강진군,1608.9
2022,해남군,1525.4
2022,영암군,1375.9
2022,무안군,1321.1
2022,함평군,1357.6
2022,영광군,1279.8
2022,장성군,1329.1
2022,완도군,1753.3
2022,진도군,1494.9
2022,신안군,1346.2
2022,포항시,1408.5
2022,포항시 남구,1401.0
2022,포항시 북구,1415.6
2022,경주시,1264.0
2022,김천시,1172.3
2022,안동시,1172.5
2022,구미시,1151.9
2022,영주시,1259.6
2022,영천시,1178.6
2022,상주시,1283.3
2022,문경시,1390.4
2022,경산시,1163.0
2022,군위군,1097.8
2022,의성군,1095.0
2022,청송군,1187.0
2022,영양군,1395.7
2022,영덕군,1360.0
2022,청도군,1308.0
2022,고령군,1261.7
2022,성주군,1205.7
2022,칠곡군,1159.1
2022,예천군,1303.0
2022,봉화군,1365.2
2022,울진군,1625.0
2022,울릉군,1582.6
2022,진주시,1634.6
2022,통영시,1787.6
2022,사천시,1732.8
2022,김해시,1357.6
2022,밀양시,1321.3
2022,거제시,1835.4
2022,양산시,1521.9
2022,창원시,1581.5
2022,창원시 의창구,1528.1
2022,창원시 성산구,1437.7
2022,창원시 마산합포구,1735.6
2022,창원시 마산회원구,1637.0
2022,창원시 진해구,1462.6
2022,의령군,1582.9
2022,함안군,1458.1
2022,창녕군,1348.5
2022,고성군,1784.5
2022,남해군,1875.4
2022,하동군,1769.6
2022,산청군,1696.0
2022,함양군,1410.5
2022,거창군,1398.3
2022,합천군,1419.4
2022,제주시,1994.0
2022,서귀포시,2382.5
2023,종로구,1321.3
2023,중구,1290.4
2023,용산구,1248.2
2023,성동구,1276.1
2023,광진구,1283.7
2023,동대문구,1298.3
2023,중랑구,1287.3
2023,성북구,1338.4
2023,강북구,1376.1
2023,도봉구,1394.7
2023,노원구,1312.9
2023,은평구,1277.0
2023,서대문구,1314.4
2023,마포구,1294.0
2023,양천구,1289.9
2023,강서구,1272.4
2023,구로구,1306.1
2023,금천구,1298.8
2023,영등포구,1308.8
2023,동작구,1282.4
2023,관악구,1298.5
2023,서초구,1271.8
2023,강남구,1276.3
2023,송파구,1277.7
2023,강동구,1296.2
2023,중구,1549.1
2023,서구,1461.7
2023,동구,1562.8
2023,영도구,1561.0
2023,부산진구,1531.4
2023,동래구,1515.4
2023,남구,1538.7
2023,북구,1423.9
2023,해운대구,1524.5
2023,사하구,1435.9
2023,금정구,1538.6
2023,강서구,1420.3
2023,연제구,1476.1
2023,수영구,1553.5
2023,사상구,1473.8
2023,기장군,1493.3
2023,중구,1098.4
2023,동구,1082.6
2023,서구,1107.9
2023,남구,1115.5
2023,북구,1097.3
2023,수성구,1108.8
2023,달서구,1123.9
2023,달성군,1178.0
2023,중구,1160.9
2023,동구,1152.6
2023,연수구,1153.7
2023,남동구,1204.6
2023,부평구,1219.7
2023,계양구,1266.6
2023,서구,1187.1
2023,미추홀구,1162.4
2023,강화군,1177.7
2023,옹진군,1029.5
2023,동구,1302.9
2023,서구,1303.9
2023,남구,1302.2
2023,북구,1340.5
2023,광산구,1291.6
2023,동구,1163.8
2023,중구,1182.1
2023,서구,1164.0
2023,유성구,1118.9
2023,대덕구,1139.2
2023,중구,1225.5
2023,남구,1173.4
2023,동구,1328.8
2023,북구,1255.0
2023,울주군,1326.7
2023,세종특별자치시,1128.0
2023,수원시,1248.7
2023,수원시 장안구,1254.5
2023,수원시 권선구,1264.5
2023,수원시 팔달구,1253.7
2023,수원시 영통구,1223.8
2023,성남시,1263.5
2023,성남시 수정구,1267.4
2023,성남시 중원구,1266.4
2023,성남시 분당구,1259.1
2023,의정부시,1348.3
2023,안양시,1284.5
2023,안양시 만안구,1276.6
2023,안양시 동안구,1291.1
2023,부천시,1280.3
2023,광명시,1308.5
2023,평택시,1133.1
2023,동두천시,1332.8
2023,안산시,1210.4
2023,안산시 상록구,1216.3
2023,안산시 단원구,1204.0
2023,고양시,1253.6
2023,고양시 덕양구,1263.8
2023,고양시 일산동구,1251.7
2023,고양시 일산서구,1234.3
2023,과천시,1315.8
2023,구리시,1285.4
2023,남양주시,1317.1
2023,오산시,1185.7
2023,시흥시,1220.3
2023,군포시,1305.6
2023,의왕시,1273.8
2023,하남시,1282.6
2023,용인시,1265.9
2023,용인시 처인구,1307.6
2023,용인시 기흥구,1244.9
2023,용인시 수지구,1249.8
2023,파주시,1248.6
2023,이천시,1216.6
2023,안성시,1244.7
2023,김포시,1182.6
2023,화성시,1170.4
2023,광주시,1321.3
2023,양주시,1338.3
2023,포천시,1314.1
2023,여주시,1216.8
2023,연천군,1291.0
2023,가평군,1299.3
2023,양평군,1315.6
2023,춘천시,1242.3
2023,원주시,1281.4
2023,강릉시,1489.6
2023,동해시,1467.9
2023,태백시,1531.1
2023,속초시,1720.4
2023,삼척시,1495.6
2023,홍천군,1392.6
2023,횡성군,1422.6
2023,영월군,1325.8
2023,평창군,1425.0
2023,정선군,1418.7
2023,철원군,1384.9
2023,화천군,1332.5
2023,양구군,1421.1
2023,인제군,1387.6
2023,고성군,1666.1
2023,양양군,1606.8
2023,충주시,1141.8
2023,제천시,1288.6
2023,청주시,1074.7
2023,청주시 상당구,1076.5
2023,청주시 서원구,1084.7
2023,청주시 흥덕구,1078.6
2023,청주시 청원구,1052.9
2023,보은군,1188.0
2023,옥천군,1166.4
2023,영동군,1138.0
2023,진천군,1200.5
2023,괴산군,1115.3
2023,음성군,1164.6
2023,단양군,1286.8
2023,증평군,1056.6
2023,천안시,1209.4
2023,천안시 동남구,1224.6
2023,천안시 서북구,1189.5
2023,공주시,1142.2
2023,보령시,1149.9
2023,아산시,1168.9
2023,서산시,1181.1
2023,논산시,1102.6
2023,계룡시,1165.9
2023,당진시,1114.2
2023,금산군,1239.2
2023,부여군,1168.6
2023,서천군,1156.5
2023,청양군,1191.4
2023,홍성군,1132.0
2023,예산군,1152.0
2023,태안군,1183.9
2023,전주시,1135.0
2023,전주시 완산구,1141.6
2023,전주시 덕진구,1127.1
2023,군산시,1198.5
2023,익산시,1088.1
2023,정읍시,1192.8
2023,남원시,1480.6
2023,김제시,1074.7
2023,완주군,1196.9
2023,진안군,1351.8
2023,무주군,1236.0
2023,장수군,1392.7
2023,임실군,1333.0
2023,순창군,1414.4
2023,고창군,1232.9
2023,부안군,1135.4
2023,목포시,1196.6
2023,여수시,1816.6
2023,순천시,1790.4
2023,나주시,1261.7
2023,광양시,1852.3
