Year,Sub_Region_Name,Climate_Value
2022,마포구,14.6
2022,양천구,14.7
2022,강서구,14.6
2022,구로구,14.6
2022,금천구,14.7
2022,영등포구,15.0
2022,동작구,14.7
2022,관악구,14.6
2022,서초구,14.8
2022,강남구,15.0
2022,송파구,15.0
2022,강동구,14.6
2022,중구,16.2
2022,서구,15.5
2022,동구,15.2
2022,영도구,16.0
2022,부산진구,15.9
2022,동래구,15.8
2022,남구,16.3
2022,북구,15.9
2022,해운대구,16.1
2022,사하구,16.0
2022,금정구,15.4
2022,강서구,16.0
2022,연제구,16.3
2022,수영구,15.9
2022,사상구,16.2
2022,기장군,15.6
2022,중구,15.7
2022,동구,15.5
2022,서구,15.8
2022,남구,15.5
2022,북구,15.2
2022,수성구,15.5
2022,달서구,15.4
2022,달성군,15.0
2022,중구,13.9
2022,동구,14.0
2022,연수구,14.0
2022,남동구,13.9
2022,부평구,14.0
2022,계양구,13.9
2022,서구,13.8
2022,미추홀구,14.0
2022,강화군,13.2
2022,옹진군,13.3
2022,동구,15.4
2022,서구,15.3
2022,남구,15.3
2022,북구,15.2
2022,광산구,14.9
2022,동구,14.1
2022,중구,14.7
2022,서구,14.3
2022,유성구,14.0
2022,대덕구,14.1
2022,중구,15.6
2022,남구,16.1
2022,동구,15.4
2022,북구,15.8
2022,울주군,14.9
2022,세종특별자치시,13.6
2022,수원시,14.0
2022,수원시 장안구,14.0
2022,수원시 권선구,14.1
2022,수원시 팔달구,14.0
2022,수원시 영통구,14.0
2022,성남시,14.3
2022,성남시 수정구,14.4
2022,성남시 중원구,14.0
2022,성남시 분당구,14.3
2022,의정부시,13.6
2022,안양시,14.2
2022,안양시 만안구,14.3
2022,안양시 동안구,14.1
2022,부천시,14.3
2022,광명시,14.6
2022,평택시,13.9
2022,동두천시,12.7
2022,안산시,13.9
2022,안산시 상록구,13.8
2022,안산시 단원구,14.0
2022,고양시,14.0
2022,고양시 덕양구,14.1
2022,고양시 일산동구,13.9
2022,고양시 일산서구,13.7
2022,과천시,13.7
2022,구리시,14.1
2022,남양주시,13.3
2022,오산시,13.7
2022,시흥시,14.1
2022,군포시,13.8
2022,의왕시,14.1
2022,하남시,14.4
2022,용인시,13.6
2022,용인시 처인구,13.0
2022,용인시 기흥구,13.8
2022,용인시 수지구,14.0
2022,파주시,13.0
2022,이천시,13.1
2022,안성시,13.4
2022,김포시,13.6
2022,화성시,13.8
2022,광주시,13.4
2022,양주시,12.8
2022,포천시,11.9
2022,여주시,12.9
2022,연천군,12.0
2022,가평군,12.1
2022,양평군,12.8
2022,춘천시,12.4
2022,원주시,12.9
2022,강릉시,14.0
2022,동해시,13.9
2022,태백시,9.9
2022,속초시,13.7
