Year,Region_Code,Region_Name,Sub_Region_Name,Climate_Value
2021,년,년,년,3.8
2021,1101000000,서울특별시,종로구,3.7
2021,1102000000,서울특별시,중구,3.5
2021,1103000000,서울특별시,용산구,3.7
2021,1104000000,서울특별시,성동구,4.0
2021,1105000000,서울특별시,광진구,3.6
2021,1106000000,서울특별시,동대문구,3.6
2021,1107000000,서울특별시,중랑구,3.7
2021,1108000000,서울특별시,성북구,4.1
2021,1109000000,서울특별시,강북구,4.7
2021,1110000000,서울특별시,도봉구,3.7
2021,1111000000,서울특별시,노원구,3.5
2021,1112000000,서울특별시,은평구,3.7
2021,1113000000,서울특별시,서대문구,3.7
2021,1114000000,서울특별시,마포구,4.1
2021,1115000000,서울특별시,양천구,3.9
2021,1116000000,서울특별시,강서구,4.1
2021,1117000000,서울특별시,구로구,4.1
2021,1118000000,서울특별시,금천구,4.0
2021,1119000000,서울특별시,영등포구,3.8
2021,1120000000,서울특별시,동작구,3.8
2021,1121000000,서울특별시,관악구,3.8
2021,1122000000,서울특별시,서초구,3.9
2021,1123000000,서울특별시,강남구,4.2
2021,1124000000,서울특별시,송파구,4.2
2021,1125000000,서울특별시,강동구,4.0
2021,2101000000,부산광역시,중구,3.7
2021,2102000000,부산광역시,서구,4.2
2021,2103000000,부산광역시,동구,4.3
2021,2104000000,부산광역시,영도구,3.7
2021,2105000000,부산광역시,부산진구,3.3
2021,2106000000,부산광역시,동래구,4.1
2021,2107000000,부산광역시,남구,2.8
2021,2108000000,부산광역시,북구,3.4
2021,2109000000,부산광역시,해운대구,3.6
2021,2110000000,부산광역시,사하구,3.3
2021,2111000000,부산광역시,금정구,2.9
2021,2112000000,부산광역시,강서구,3.4
2021,2113000000,부산광역시,연제구,3.8
2021,2114000000,부산광역시,수영구,3.0
2021,2115000000,부산광역시,사상구,2.8
2021,2131000000,부산광역시,기장군,1.4
2021,2201000000,대구광역시,중구,1.3
2021,2202000000,대구광역시,동구,1.4
2021,2203000000,대구광역시,서구,1.4
2021,2204000000,대구광역시,남구,1.4
2021,2205000000,대구광역시,북구,1.3
2021,2206000000,대구광역시,수성구,1.5
2021,2207000000,대구광역시,달서구,2.0
2021,2231000000,대구광역시,달성군,3.6
2021,2301000000,인천광역시,중구,3.7
2021,2302000000,인천광역시,동구,3.3
2021,2304000000,인천광역시,연수구,3.7
2021,2305000000,인천광역시,남동구,3.8
2021,2306000000,인천광역시,부평구,3.7
2021,2307000000,인천광역시,계양구,3.6
2021,2308000000,인천광역시,서구,3.5
2021,2309000000,인천광역시,미추홀구,3.0
2021,2331000000,인천광역시,강화군,2.0
2021,2332000000,인천광역시,옹진군,3.2
2021,2401000000,광주광역시,동구,3.1
2021,2402000000,광주광역시,서구,3.2
2021,2403000000,광주광역시,남구,3.3
2021,2404000000,광주광역시,북구,3.2
2021,2405000000,광주광역시,광산구,2.0
